id,texte
1,State regulations should set minimum wage levels to protect workers.
2,Cultural traditions must be preserved against rapid social changes.
3,International cooperation is more important than national sovereignty.
4,The means of production should be collectively owned by workers.
5,Laws should evolve quickly to reflect new social norms.
6,Local citizens should have priority access to jobs over immigrants.
7,Large fortunes should be heavily taxed to reduce inequality.
8,Free markets should operate without government intervention.
9,Marriage should only be recognized between a man and a woman.
10,Nations should prioritize global solutions over national interests.
11,Private property rights are essential for economic prosperity.
12,Government should regulate businesses to protect consumers and the environment.
13,Same-sex couples should have the same rights as heterosexual couples.
14,National borders should be strictly controlled to preserve cultural identity.
15,Workers should have democratic control over their workplaces.
16,The government should provide universal healthcare to all citizens.
17,Transgender individuals should be able to legally change their gender identity.
18,Free trade agreements benefit all participating nations equally.
19,Wealth redistribution through taxation is necessary for social justice.
20,Environmental regulations harm economic growth and should be minimized.
21,Immigration enriches our society culturally and economically.
22,Essential industries like energy and transportation should be nationalized.
23,Traditional family structures are the foundation of a healthy society.
24,International organizations should have authority over national governments on global issues.
25,Corporations should be allowed to operate with minimal government oversight.
26,Drug use should be decriminalized and treated as a health issue.
27,National interests should always take precedence over international commitments.
28,Inheritance taxes should be high to prevent wealth concentration.
29,Religious values should guide public policy decisions.
30,Climate change requires coordinated international action even at economic cost.
31,Labor unions are essential for protecting worker rights.
32,Public education should be fully funded by the government.
33,Abortion should be legal and accessible to all who need it.
34,Domestic companies should receive preferential treatment over foreign ones.
35,The banking system should be under public control.
36,Gender is determined by biological sex at birth.
37,Wealthy nations have a moral obligation to aid developing countries.
38,The minimum wage should be abolished to let the market determine wages.
39,Racial and ethnic diversity strengthens our communities.
40,Natural resources should be commonly owned and managed for public benefit.
41,Government surveillance is necessary for national security even if it limits privacy.
42,Individuals should be free to make their own choices without government interference.
43,Military spending should be increased to ensure national defense.
44,Renewable energy should be prioritized over fossil fuels regardless of cost.
45,The death penalty is an acceptable form of punishment.
46,People should have the right to own firearms without restrictions.
47,War is sometimes necessary to defend national interests.
48,Plastic usage should be banned to protect the environment.
49,Religious symbols should be banned in public institutions.
50,Citizens should be required to perform mandatory military service.
51,Animal testing for scientific research should be prohibited.
52,The state should have the power to censor harmful speech.
53,Nuclear energy is necessary for meeting our energy needs.
54,Separation of church and state must be absolute.
55,Strong military alliances are essential for global security.
56,Single-use products should be heavily taxed or banned.
57,Freedom of expression is absolute and should never be restricted.
58,Diplomatic solutions should always be preferred over military action.
59,Economic growth should take priority over environmental concerns.
60,Public schools should teach religious values.
61,Whistleblowers who expose government secrets should be protected.
62,Pacifism is naive in the face of real-world threats.
63,Cars powered by fossil fuels should be phased out within a decade.
64,Religious institutions should receive government funding.
